Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.J. Lawson  ,    DAL  ,23,    6-6  ,179,    South Carolina  ,    Canada  ,      ,      ,      ,10,1.1,0.3,0,-15,3.6,6.7,15.6,55.7,0,
AJ Green  ,    MIL  ,24,    6-4  ,190,    Northern Iowa  ,    USA  ,      ,      ,      ,6,2.8,1.5,0.3,-3.8,0,12.7,11.5,49.1,4,
Aaron Gordon  ,    DEN  ,28,    6-8  ,235,    Arizona  ,    USA  ,2014,1,4,12,14.3,7.3,4.4,-3.9,8.4,12.2,15.3,66,18,
Aaron Nesmith  ,    IND  ,24,    6-6  ,215,    Vanderbilt  ,    USA  ,2020,1,14,17,10.5,4.9,2.2,2.6,3.6,12,14.5,56.6,8.1,
Aaron Wiggins  ,    OKC  ,25,    6-5  ,190,    Maryland  ,    USA  ,2021,2,55,10,6.2,3.2,1,8.4,6.1,12.2,17.2,59.8,9.7,
Al Horford  ,    BOS  ,38,    6-9  ,240,    Florida  ,    Dominican Republic  ,2007,1,3,19,9.2,7,2.1,11.4,6.4,17.7,12.2,60.9,9.6,
Alec Burks  ,    NYK  ,32,    6-5  ,214,    Colorado  ,    USA  ,2011,1,12,6,14.8,3.3,1,-11.9,3,16.5,22,69.4,9.2,
Amir Coffey  ,    LAC  ,27,    6-7  ,210,    Minnesota  ,    USA  ,      ,      ,      ,6,2.8,1.7,0.3,-12.9,1.7,7.1,10.7,38.6,3.1,
Andre Jackson Jr.  ,    MIL  ,22,    6-6  ,209,    Connecticut  ,    USA  ,2023,2,36,5,2.4,2.2,2,10.9,9.1,9,10.2,54.5,19.6,
Andrew Nembhard  ,    IND  ,24,    6-4  ,191,    Gonzaga  ,    Canada  ,2022,2,31,17,14.9,3.3,5.5,2.6,2.7,7.6,17.8,65.4,23,
Anthony Black  ,    ORL  ,20,    6-7  ,200,    Arkansas  ,    USA  ,2023,1,6,2,3,1,1,-38.1,10,14.3,32,42.9,40,
Anthony Davis  ,    LAL  ,31,    6-10  ,253,    Kentucky  ,    USA  ,2012,1,1,5,27.8,15.6,4,-3.2,7.8,29.7,24.6,66.5,15.5,
Anthony Edwards  ,    MIN  ,22,    6-4  ,225,    Georgia  ,    USA  ,2020,1,1,16,27.6,7,6.5,4.4,2.8,15.7,28.9,59.8,27.7,
Austin Reaves  ,    LAL  ,26,    6-5  ,197,    Oklahoma  ,    USA  ,      ,      ,      ,5,16.8,3.8,3.6,-3.5,3,7.8,19.3,58.9,13.7,
Bam Adebayo  ,    MIA  ,26,    6-9  ,255,    Kentucky  ,    USA  ,2017,1,14,5,22.6,9.4,3.8,-10,5.7,20,28,53.2,19.2,
Ben Sheppard  ,    IND  ,22,    6-6  ,190,    Belmont  ,    USA  ,2023,1,26,17,5.2,3,1,6.5,3.3,12,11,58.7,5.9,
Bobby Portis  ,    MIL  ,29,    6-10  ,250,    Arkansas  ,    USA  ,2015,1,22,6,16.5,11.3,1,7.7,9.2,27.7,25.5,51.2,5.3,
Bojan Bogdanovic  ,    NYK  ,35,    6-7  ,226,    None  ,    Croatia  ,2011,2,31,4,6,3,1,32,1.5,19,22,44.3,11.8,
Bol Bol  ,    PHX  ,24,    7-3  ,220,    Oregon  ,    Sudan  ,2019,2,44,3,0.7,1.3,0,0.5,0,44.4,10.7,33.3,0,
Bones Hyland  ,    LAC  ,23,    6-2  ,169,    Virginia Commonwealth  ,    USA  ,2021,1,26,3,3.7,0.7,1.3,8,0,16.7,34.5,62.8,57.1,
Bradley Beal  ,    PHX  ,30,    6-4  ,207,    Florida  ,    USA  ,2012,1,3,4,16.5,2.8,4.5,-14.2,4.3,3.5,21.9,53.9,20.7,
Brandon Boston Jr.  ,    LAC  ,22,    6-6  ,188,    Kentucky  ,    USA  ,2021,2,51,3,1.7,0.7,0.3,23.8,12.5,10,21.7,51.2,14.3,
Brandon Ingram  ,    NOP  ,26,    6-8  ,190,    Duke  ,    USA  ,2016,1,2,4,14.3,4.5,3.3,-14,0.6,11.7,21.5,45,15.5,
Brook Lopez  ,    MIL  ,36,    7-1  ,282,    Stanford  ,    USA  ,2008,1,10,6,17.7,4.3,1.8,-10.7,5.6,7.3,20.3,65,8.8,
Buddy Hield  ,    PHI  ,31,    6-4  ,220,    Oklahoma  ,    Bahamas  ,2016,1,6,4,5.5,1.3,0.5,-7.4,3,5.9,15.7,61.5,6.7,
CJ McCollum  ,    NOP  ,32,    6-3  ,190,    Lehigh  ,    USA  ,2013,1,10,4,17.8,4.8,4.8,-18.5,1.3,12.6,26.1,47.4,24.4,
Caleb Houstan  ,    ORL  ,21,    6-8  ,205,    Michigan  ,    Canada  ,2022,2,32,3,1,0.7,0,-51.1,7.7,11.1,6.1,75,0,
Caleb Martin  ,    MIA  ,28,    6-5  ,205,    Nevada  ,    USA  ,      ,      ,      ,5,11.6,3.6,1.4,-15.5,2.9,7.9,13.8,61.4,6.4,
Cameron Payne  ,    PHI  ,29,    6-3  ,183,    Murray State  ,    USA  ,2015,1,14,5,5.6,1.2,1.4,-6.9,0,7.9,20,56,22.6,
Caris LeVert  ,    CLE  ,29,    6-6  ,205,    Michigan  ,    USA  ,2016,1,20,11,10.1,3.6,2.3,-7.4,2.7,11.6,20.5,48.9,14.7,
Cason Wallace  ,    OKC  ,20,    6-3  ,195,    Kentucky  ,    USA  ,2023,1,10,10,4.2,1.3,1,10.6,3.6,2.8,10.4,50.1,6.8,
Chet Holmgren  ,    OKC  ,22,    7-1  ,208,    Gonzaga  ,    USA  ,2022,1,2,10,15.6,7.2,2.1,11.1,4.2,16.1,19.6,58.4,8.7,
Chris Livingston  ,    MIL  ,20,    6-6  ,220,    Kentucky  ,    USA  ,2023,2,58,2,1,0,0,-7.6,0,0,15.4,43.1,0,
Christian Braun  ,    DEN  ,23,    6-6  ,220,    Kansas  ,    USA  ,2022,1,21,12,5.1,2.7,0.8,3,4.5,11.6,14,50,7.1,
Chuma Okeke  ,    ORL  ,25,    6-7  ,229,    Auburn  ,    USA  ,2019,1,16,2,3,0,0.5,-47.4,0,0,13,87.2,16.7,
Cole Anthony  ,    ORL  ,24,    6-2  ,185,    North Carolina  ,    USA  ,2020,1,15,7,5.1,2.1,1.3,8,1.9,12.3,20.9,40,15.3,
D'Angelo Russell  ,    LAL  ,28,    6-3  ,193,    Ohio State  ,    USA  ,2015,1,2,5,14.2,2.8,4.2,4.7,0.6,6.5,20.5,48.1,15.7,
DaQuan Jeffries  ,    NYK  ,26,    6-5  ,222,    Tulsa  ,    USA  ,      ,      ,      ,4,2,1,0,33.2,4,17.6,16.7,50,0,
Damian Jones  ,    CLE  ,28,    6-10  ,245,    Vanderbilt  ,    USA  ,2016,1,30,2,0,1,1,-10,11.1,12.5,9.1,0,25,
Damian Lillard  ,    MIL  ,33,    6-2  ,195,    Weber State  ,    USA  ,2012,1,6,4,31.3,3.3,5,-13.8,1.2,6.6,30,64,23,
Daniel Gafford  ,    DAL  ,25,    6-10  ,234,    Arkansas  ,    USA  ,2019,2,38,22,9,5.5,0.7,-5.4,10,17.1,17.2,65,5.5,
Daniel Theis  ,    LAC  ,32,    6-8  ,245,    None  ,    Germany  ,      ,      ,      ,1,3,1,0,5.6,0,20,11.1,150,0,
Danilo Gallinari  ,    MIL  ,35,    6-10  ,236,    None  ,    Italy  ,2008,1,6,3,3.7,3,0.7,1.8,3,21.1,13.9,56.4,7.1,
Dante Exum  ,    DAL  ,28,    6-5  ,214,    None  ,    Australia  ,2014,1,5,21,2,0.8,0.6,-4.1,2.1,9.2,15.9,46.1,13.6,
Darius Garland  ,    CLE  ,24,    6-1  ,192,    Vanderbilt  ,    USA  ,2019,1,5,12,15.7,3.6,5.8,-9.2,0.2,9.6,22,52.2,26.3,
David Roddy  ,    PHX  ,23,    6-4  ,255,    Colorado State  ,    USA  ,2022,1,23,2,0,0,0,100,0,0,0,0,0,
De'Anthony Melton  ,    PHI  ,26,    6-3  ,200,    Southern California  ,    USA  ,2018,2,46,1,0,1,1,8,0,11.1,12.5,0,20,
DeAndre Jordan  ,    DEN  ,35,    6-11  ,265,    Texas A&M  ,    USA  ,2008,2,35,2,2,1.5,0,-80,5.3,20,10.7,69.4,0,
Dean Wade  ,    CLE  ,27,    6-9  ,228,    Kansas State  ,    USA  ,      ,      ,      ,3,3.7,2,1.7,-13.3,1.5,9.1,11,42.3,10.6,
Delon Wright  ,    MIA  ,32,    6-5  ,185,    Utah  ,    USA  ,2015,1,20,4,8,3,1.8,-10,2.1,9.8,9.4,76.6,9.3,
Dereck Lively II  ,    DAL  ,20,    7-1  ,230,    Duke  ,    USA  ,2023,1,12,21,7.9,7.4,1.3,9.1,12.2,21.3,13.1,67.7,8.1,
Derrick Jones Jr.  ,    DAL  ,27,    6-6  ,210,    UNLV  ,    USA  ,      ,      ,      ,22,9.1,3.5,1.2,3.7,5.3,6.4,13,57.7,6,
Derrick White  ,    BOS  ,29,    6-4  ,190,    Colorado  ,    USA  ,2017,1,29,19,16.7,4.3,4.1,5.5,2.9,9.5,18.2,61.7,17.9,
Devin Booker  ,    PHX  ,27,    6-6  ,206,    Kentucky  ,    USA  ,2015,1,13,4,27.5,3.3,6,-12,0.7,7.5,26.3,66.2,26.7,
Donovan Mitchell  ,    CLE  ,27,    6-3  ,215,    Louisville  ,    USA  ,2017,1,13,10,29.6,5.4,4.7,-0.7,1.6,12.3,33.2,58.4,23.9,
Donte DiVincenzo  ,    NYK  ,27,    6-4  ,203,    Villanova  ,    USA  ,2018,1,17,13,17.8,4,2.6,-6.9,2.7,9.3,20.3,56.6,10.8,
Doug McDermott  ,    IND  ,32,    6-6  ,225,    Creighton  ,    USA  ,2014,1,11,10,1.3,0.3,0.7,-14.5,3,1.4,8.1,59.1,15.2,
Drew Eubanks  ,    PHX  ,27,    6-10  ,245,    Oregon State  ,    USA  ,      ,      ,      ,3,5.7,1.3,0,-21.3,0,11.4,17.9,63.8,0,
Duncan Robinson  ,    MIA  ,30,    6-7  ,215,    Michigan  ,    USA  ,      ,      ,      ,5,2.6,1,1.2,-38.5,0,9.4,17.2,40.6,15.4,
Dwight Powell  ,    DAL  ,32,    6-10  ,240,    Stanford  ,    Canada  ,2014,2,45,13,0.5,0.9,0.2,4.4,7.1,19.6,9.5,53.2,10.7,
Dyson Daniels  ,    NOP  ,21,    6-7  ,199,    None  ,    Australia  ,2022,1,8,3,1.3,0.7,0,-31.6,0,13.3,19.4,33.3,0,
E.J. Liddell  ,    NOP  ,23,    6-6  ,240,    Ohio State  ,    USA  ,2022,2,41,1,0,1,0,38.1,0,50,0,0,0,
Eric Gordon  ,    PHX  ,35,    6-3  ,215,    Indiana  ,    USA  ,2008,1,7,4,8,1.8,1.3,-8.9,1,5.1,13.9,50.8,6.3,
Evan Mobley  ,    CLE  ,23,    6-11  ,215,    Southern California  ,    USA  ,2021,1,3,12,16,9.3,2.3,-3.5,7.2,18.8,20.2,59.3,11.3,
Franz Wagner  ,    ORL  ,22,    6-10  ,220,    Michigan  ,    Germany  ,2021,1,8,7,18.9,6.9,4.4,6.3,3.5,14.5,21.7,53.9,21.1,
Gabe Vincent  ,    LAL  ,28,    6-2  ,200,    California-Santa Barbara  ,    USA  ,      ,      ,      ,5,1.4,1.6,0.6,-10.6,1.5,10.3,9.3,29.2,5.8,
Gary Harris  ,    ORL  ,29,    6-4  ,210,    Michigan State  ,    USA  ,2014,1,19,6,4.2,2,0.7,2.8,2.8,4.4,8.4,43.3,3.8,
Georges Niang  ,    CLE  ,31,    6-7  ,230,    Iowa State  ,    USA  ,2016,2,50,10,2.8,1.2,0.4,-11.7,2.5,7.2,18.7,31.4,4.7,
Goga Bitadze  ,    ORL  ,24,    6-10  ,250,    None  ,    Georgia  ,2019,1,18,2,0,1.5,1,-47.4,12.5,40,13,0,25,
Gordon Hayward  ,    OKC  ,34,    6-7  ,225,    Butler  ,    USA  ,2010,1,9,7,0,1.9,0.4,17,2.2,25,2.9,0,8.3,
Grayson Allen  ,    PHX  ,28,    6-4  ,198,    Duke  ,    USA  ,2018,1,21,2,3.5,4,1,-2.2,5.6,14.3,10.9,51.8,6.1,
Haywood Highsmith  ,    MIA  ,27,    6-5  ,220,    Wheeling Jesuit  ,    USA  ,2018,      ,      ,5,4.8,2.8,1.6,-24,1.7,10.5,12.4,42.2,10.3,
Herbert Jones  ,    NOP  ,25,    6-7  ,206,    Alabama  ,    USA  ,2021,2,35,4,13,5,2.5,-16.2,4.2,10.1,17.6,56.2,11.6,
Hunter Tyson  ,    DEN  ,24,    6-8  ,215,    Clemson  ,    USA  ,2023,2,37,3,0.3,1,0.3,-25,5,11.8,18.2,10.2,14.3,
Isaac Okoro  ,    CLE  ,23,    6-5  ,225,    Auburn  ,    USA  ,2020,1,5,12,5.5,1.8,1.1,-3.7,1.9,5.8,14.8,44.6,7.5,
Isaiah Hartenstein  ,    NYK  ,26,    7-0  ,250,    None  ,    Germany  ,2017,2,43,13,8.5,7.8,3.5,-9.5,12.7,15.3,12.3,64.2,16.6,
Isaiah Jackson  ,    IND  ,22,    6-9  ,205,    Kentucky  ,    USA  ,2021,1,22,15,3.8,3.2,0.5,-0.7,14,17.6,14.9,56,6.3,
Isaiah Joe  ,    OKC  ,24,    6-3  ,165,    Arkansas  ,    USA  ,2020,2,49,10,6.4,2.2,1,1.9,2.3,10.7,14.9,59.3,8.3,
Isaiah Thomas  ,    PHX  ,35,    5-9  ,185,    Washington  ,    USA  ,2011,2,60,1,0,0,0,-62.5,0,0,37.5,0,0,
Ivica Zubac  ,    LAC  ,27,    7-0  ,240,    None  ,    Croatia  ,2016,2,32,6,16.2,9.3,1,-3.4,10,20,20.4,61.5,5.8,
Jaden Hardy  ,    DAL  ,21,    6-3  ,198,    None  ,    USA  ,2022,2,37,19,4.2,0.8,0.9,-11.1,1.6,9.6,27.3,53.6,25.4,
Jaden McDaniels  ,    MIN  ,23,    6-9  ,185,    Washington  ,    USA  ,2020,1,28,16,12.2,3.8,1.1,6.4,5.4,6.6,14.3,62.7,4.8,
Jaden Springer  ,    BOS  ,21,    6-4  ,202,    Tennessee  ,    USA  ,2021,1,28,4,1,0.8,0.3,11.6,0,13.6,10.9,66.7,7.1,
Jae Crowder  ,    MIL  ,33,    6-6  ,235,    Marquette  ,    USA  ,2012,2,34,4,2.3,1.5,0.5,-25.7,4.8,10,14.3,34.9,7.1,
Jaime Jaquez Jr.  ,    MIA  ,23,    6-6  ,225,    UCLA  ,    USA  ,2023,1,18,4,12.8,3.3,3,-10.8,1.7,8.9,24.3,46.3,17.9,
Jalen Brunson  ,    NYK  ,27,    6-2  ,190,    Villanova  ,    USA  ,2018,2,33,13,32.4,3.3,7.5,0,1.5,7.2,35.2,53.6,33.6,
Jalen Pickett  ,    DEN  ,24,    6-2  ,202,    Penn State  ,    USA  ,2023,2,32,3,1.3,0.3,0.3,-12.1,0,7.7,11.5,66.7,33.3,
Jalen Smith  ,    IND  ,24,    6-9  ,215,    Maryland  ,    USA  ,2020,1,10,7,1.9,2,0.3,-44.8,14.9,15.2,15,56.4,8.3,
Jalen Suggs  ,    ORL  ,23,    6-5  ,205,    Gonzaga  ,    USA  ,2021,1,5,7,14.7,5.1,3.3,6.8,4.4,10.9,21,54.1,16.7,
Jalen Williams  ,    OKC  ,23,    6-5  ,211,    Santa Clara  ,    USA  ,2022,1,12,10,18.7,6.8,5.4,8,3.5,13.6,22.3,54.4,22,
Jamal Murray  ,    DEN  ,27,    6-4  ,215,    Kentucky  ,    Canada  ,2016,1,7,12,20.6,4.3,5.6,-2.9,2,10.1,28.6,47.4,23.4,
James Harden  ,    LAC  ,34,    6-5  ,220,    Arizona State  ,    USA  ,2009,1,3,6,21.2,4.5,8,-9.8,1.3,10.2,22,61.6,35,
James Johnson  ,    IND  ,37,    6-7  ,240,    Wake Forest  ,    USA  ,2009,1,16,1,1,0,0,50,0,0,100,56.8,0,
Jarace Walker  ,    IND  ,20,    6-7  ,235,    Houston  ,    USA  ,2023,1,8,9,0.9,0.4,0.4,-32.7,4.5,11.1,24.6,35.3,26.7,
Jarrett Allen  ,    CLE  ,26,    6-9  ,243,    Texas  ,    USA  ,2017,1,22,4,17,13.8,1.3,-4.9,12.2,31.3,18.9,70.2,6.8,
Jaxson Hayes  ,    LAL  ,24,    7-0  ,220,    Texas  ,    USA  ,2019,1,8,4,0.3,3,0.3,15.2,13,34.6,9.3,17.4,5.6,
Jaylen Brown  ,    BOS  ,27,    6-6  ,223,    California  ,    USA  ,2016,1,3,19,23.9,5.9,3.3,6.2,3.3,13.3,28,59.1,15.3,
Jaylin Williams  ,    OKC  ,21,    6-9  ,240,    Arkansas  ,    USA  ,2022,2,34,10,4.4,3.2,1.5,-9.3,3,19.6,13.1,63.3,20.8,
Jayson Tatum  ,    BOS  ,26,    6-8  ,210,    Duke  ,    USA  ,2017,1,3,19,25,9.7,6.3,9.2,2.3,22.4,28,54.9,25.1,
Jeremiah Robinson-Earl  ,    NOP  ,23,    6-8  ,240,    Villanova  ,    USA  ,2021,2,32,1,2,1,1,-10,14.3,0,27.3,34.7,50,
Jericho Sims  ,    NYK  ,25,    6-10  ,250,    Texas  ,    USA  ,2021,2,58,5,1.4,1.6,0.2,10.9,8.8,21.7,6,93.1,7.7,
Jett Howard  ,    ORL  ,20,    6-6  ,215,    Michigan  ,    USA  ,2023,1,11,2,2.5,0.5,0.5,-47.4,0,20,21.7,83.3,16.7,
Joe Ingles  ,    ORL  ,36,    6-9  ,220,    None  ,    Australia  ,      ,      ,      ,7,1.6,1.9,1.7,10.5,2.9,16.2,7.6,42.7,24,
Joel Embiid  ,    PHI  ,30,    7-0  ,280,    Kansas  ,    Cameroon  ,2014,1,3,6,33,10.8,5.7,9.3,8.4,16.9,35.8,59.2,24.6,
Jonas Valanciunas  ,    NOP  ,32,    6-11  ,265,    None  ,    Lithuania  ,2011,1,5,4,14.5,11,1.3,-20.4,17.6,30.2,28,58.6,11.6,
Jonathan Isaac  ,    ORL  ,26,    6-10  ,230,    Florida State  ,    USA  ,2017,1,6,7,6.3,4.9,0.4,3.6,6.3,16.7,12.7,55.2,3.2,
Jordan Hawkins  ,    NOP  ,22,    6-5  ,190,    Connecticut  ,    USA  ,2023,1,14,3,0,0.7,0,7.3,0,25,13.8,0,0,
Jordan McLaughlin  ,    MIN  ,28,    6-0  ,185,    Southern California  ,    USA  ,      ,      ,      ,6,0.7,0.7,0.3,20.2,0,11.8,16.4,20.2,9.1,
Jordan Walsh  ,    BOS  ,20,    6-6  ,205,    Arkansas  ,    USA  ,2023,2,38,3,0.7,0.7,0,28.8,0,13.3,12.5,33.3,0,
Jose Alvarado  ,    NOP  ,26,    6-0  ,179,    Georgia Tech  ,    USA  ,      ,      ,      ,4,1.8,1,2.3,-17.1,0,8.5,16.6,17.5,26.5,
Josh Giddey  ,    OKC  ,21,    6-8  ,216,    None  ,    Australia  ,2021,1,6,10,8.7,3.6,2.1,10.1,3.7,14.9,21.5,55.4,17.5,
Josh Green  ,    DAL  ,23,    6-5  ,200,    Arizona  ,    Australia  ,2020,1,18,22,5,2.5,1,0.4,5.5,8.9,10.9,58.4,8.1,
Josh Hart  ,    NYK  ,29,    6-4  ,215,    Villanova  ,    USA  ,2017,1,30,13,14.5,11.5,4.5,-4.3,6.5,22.2,16.3,55.2,15.1,
Josh Minott  ,    MIN  ,21,    6-8  ,205,    Memphis  ,    USA  ,2022,2,45,5,1.2,1,0.6,27.2,4.3,18.2,19.6,33.3,27.3,
Josh Okogie  ,    PHX  ,25,    6-4  ,213,    Georgia Tech  ,    Nigeria  ,2018,1,20,4,3.5,1,0.5,12.6,0,11.8,22.6,60.1,12.5,
Jrue Holiday  ,    BOS  ,34,    6-4  ,205,    UCLA  ,    USA  ,2009,1,17,19,13.2,6.1,4.4,10,5.3,11.1,14.6,61.7,16.8,
Julian Strawther  ,    DEN  ,22,    6-6  ,205,    Gonzaga  ,    USA  ,2023,1,29,3,2.3,0.7,0,-35.5,0,10.5,25,45.1,0,
Justin Holiday  ,    DEN  ,35,    6-6  ,180,    Washington  ,    USA  ,      ,      ,      ,12,2.9,1.7,0.3,9,0.7,13.5,11.9,47.6,4.1,
Jusuf Nurkic  ,    PHX  ,29,    7-0  ,290,    None  ,    Bosnia and Herzegovina  ,2014,1,16,4,7.8,8.3,2.8,-14.9,12.7,19.8,16.2,50.3,16.7,
Karl-Anthony Towns  ,    MIN  ,28,    7-0  ,248,    Kentucky  ,    USA  ,2015,1,1,16,19.1,9,2.6,1,6.8,22.5,24.5,58.1,13.3,
Kawhi Leonard  ,    LAC  ,32,    6-7  ,225,    San Diego State  ,    USA  ,2011,1,15,2,12,8,2,-9.7,5.4,21,23,47.4,12.5,
Kelly Oubre Jr.  ,    PHI  ,28,    6-7  ,203,    Kansas  ,    USA  ,2015,1,15,6,13.2,4,1.7,6.5,4.2,6.2,15.6,57.4,6.9,
Kendall Brown  ,    IND  ,21,    6-7  ,205,    Baylor  ,    USA  ,2022,2,48,7,0.6,0.4,0.3,-42.2,0,12.5,17.3,33.3,20,
Kenrich Williams  ,    OKC  ,29,    6-6  ,210,    TCU  ,    USA  ,      ,      ,      ,7,0.6,1.1,0.4,-6.5,3,22.6,11.3,25,15.8,
Kentavious Caldwell-Pope  ,    DEN  ,31,    6-5  ,204,    Georgia  ,    USA  ,2013,1,8,12,8.1,2.9,2.6,0.9,1.3,7.6,10.7,53.4,9.4,
Kevin Durant  ,    PHX  ,35,    6-11  ,240,    Texas  ,    USA  ,2007,1,2,4,26.8,6.5,3.3,-18.8,0.7,15.4,25.6,65.3,14.6,
Kevin Love  ,    MIA  ,35,    6-8  ,251,    UCLA  ,    USA  ,2008,1,5,5,1.8,2.8,0.8,-51.6,4.5,46.4,16.7,50,20,
Khris Middleton  ,    MIL  ,32,    6-7  ,222,    Texas A&M  ,    USA  ,2012,2,39,6,24.7,9.2,4.7,0.9,5.6,18.7,27.6,58.2,19.6,
Kobe Brown  ,    LAC  ,24,    6-7  ,250,    Missouri  ,    USA  ,2023,1,30,3,0,0.7,0,20.7,12.5,10,0,0,0,
Kristaps Porzingis  ,    BOS  ,28,    7-2  ,240,    None  ,    Latvia  ,2015,1,4,7,12.3,4.4,1.1,12.2,2.5,16.4,21.2,61.7,7.7,
Kyle Anderson  ,    MIN  ,30,    6-9  ,230,    UCLA  ,    USA  ,2014,1,30,15,4.3,2.7,2.5,-7.3,7.7,10.9,13.7,51.4,25,
Kyle Lowry  ,    PHI  ,38,    6-0  ,196,    Villanova  ,    USA  ,2006,1,24,6,7,3.5,4,5.4,3.9,7.7,11.3,54.4,18.8,
Kyrie Irving  ,    DAL  ,32,    6-2  ,195,    Duke  ,    Australia  ,2011,1,1,22,22.1,3.7,5.1,5.7,2.6,6.7,24,56.6,20.4,
Larry Nance Jr.  ,    NOP  ,31,    6-8  ,245,    Wyoming  ,    USA  ,2015,1,27,4,6.3,8.3,1.8,-11,17.6,24.3,13.2,63.6,14.9,
LeBron James  ,    LAL  ,39,    6-9  ,250,    None  ,    USA  ,2003,1,1,5,27.8,6.8,8.8,-4.3,2.1,14.4,27.7,63.7,35.8,
Leonard Miller  ,    MIN  ,20,    6-10  ,210,    None  ,    Canada  ,2023,2,33,3,0,1.3,0,35.4,16.7,42.9,5.9,0,0,
Lindy Waters III  ,    OKC  ,26,    6-6  ,210,    Oklahoma State  ,    USA  ,      ,      ,      ,3,0,0.3,0,-27.5,0,12.5,5.6,0,0,
Luguentz Dort  ,    OKC  ,25,    6-4  ,220,    Arizona State  ,    Canada  ,      ,      ,      ,10,10.7,4.6,2,4.9,5.4,7.3,14.1,53.8,8,
Luka Doncic  ,    DAL  ,25,    6-7  ,230,    None  ,    Slovenia  ,2018,1,3,22,28.9,9.5,8.1,4.3,1.8,21.1,32.4,55.6,35,
Luka Garza  ,    MIN  ,25,    6-10  ,243,    Iowa  ,    USA  ,2021,2,52,7,4.1,0.9,0.1,36.8,7.1,12.5,25.4,93.4,9.1,
Luke Kornet  ,    BOS  ,28,    7-1  ,250,    Vanderbilt  ,    USA  ,      ,      ,      ,13,3,3.2,0.5,-6.8,14.4,16.4,11.3,73,8.2,
Malik Beasley  ,    MIL  ,27,    6-4  ,187,    Florida State  ,    USA  ,2016,1,19,6,8.8,2.5,0.7,-15.7,0.7,10.5,14.6,64.6,4.5,
Mamadi Diakite  ,    NYK  ,27,    6-9  ,228,    Virginia  ,    Guinea  ,      ,      ,      ,4,0.5,0.8,0.3,45.2,0,25,13.9,25.8,12.5,
MarJon Beauchamp  ,    MIL  ,23,    6-7  ,199,    None  ,    USA  ,2022,1,24,4,0.8,0.3,0.5,10.5,0,11.1,27.3,30.7,28.6,
Marcus Morris Sr.  ,    CLE  ,34,    6-8  ,218,    Kansas  ,    USA  ,2011,1,14,9,6.1,2.8,0.3,-14.6,1.4,18.7,17.3,55.8,3.7,
Markelle Fultz  ,    ORL  ,26,    6-4  ,209,    Washington  ,    USA  ,2017,1,1,7,6.4,2,1.1,16.2,6.1,6.4,18.6,59.3,12.9,
Markieff Morris  ,    DAL  ,34,    6-9  ,245,    Kansas  ,    USA  ,2011,1,13,1,3,4,0,29,0,23.5,24,30,0,
Mason Plumlee  ,    LAC  ,34,    6-10  ,254,    Duke  ,    USA  ,2013,1,22,6,3.2,3.3,0.7,-4.2,9.1,20.6,15.1,44.1,9.8,
Matt Ryan  ,    NOP  ,27,    6-6  ,215,    Tennessee-Chattanooga  ,    USA  ,      ,      ,      ,1,0,1,0,38.1,0,50,33.3,0,0,
Max Strus  ,    CLE  ,28,    6-5  ,215,    DePaul  ,    USA  ,      ,      ,      ,12,9.5,5.3,2.9,-4,1.9,13,12.8,54.2,11.4,
Maxi Kleber  ,    DAL  ,32,    6-10  ,240,    None  ,    Germany  ,      ,      ,      ,13,3.7,1.9,1,2.2,1.8,10,9.1,57.6,8.2,
Michael Porter Jr.  ,    DEN  ,25,    6-10  ,218,    Missouri  ,    USA  ,2018,1,14,12,15.8,6.8,1.1,-1.3,1.8,18.4,17.8,60,4.3,
Mike Conley  ,    MIN  ,36,    6-0  ,175,    Ohio State  ,    USA  ,2007,1,4,15,11.6,3.9,5.7,4.2,2.2,11.1,16.5,55.3,27,
Miles McBride  ,    NYK  ,23,    6-1  ,195,    West Virginia  ,    USA  ,2021,2,36,13,11,2.2,1.9,-4.4,1.8,6.8,17.3,55.3,11.4,
Mitchell Robinson  ,    NYK  ,26,    7-0  ,240,    Western Kentucky  ,    USA  ,2018,2,36,6,2.8,6.8,0.5,13.2,18,14.4,7.1,48.5,3.3,
Monte Morris  ,    MIN  ,28,    6-2  ,183,    Iowa State  ,    USA  ,2017,2,51,9,2.3,0.7,1,0.8,1.3,7.1,18.9,34,23.1,
Moritz Wagner  ,    ORL  ,27,    6-11  ,245,    Michigan  ,    Germany  ,2018,1,25,7,6.3,4.4,0.3,18.2,9.9,18.7,20.9,50.6,3,
Myles Turner  ,    IND  ,28,    6-11  ,250,    Texas  ,    USA  ,2015,1,11,17,17,6.6,2.1,4.9,5.2,16,21.3,63.7,8.7,
Naji Marshall  ,    NOP  ,26,    6-6  ,220,    Xavier  ,    USA  ,      ,      ,      ,4,9,2.8,1.3,-18.5,3.2,11.3,16.9,58.7,11.4,
Nassir Little  ,    PHX  ,24,    6-6  ,220,    North Carolina  ,    USA  ,2019,1,25,4,1.8,0.3,0,-23.1,0,7.7,18.5,70,0,
Naz Reid  ,    MIN  ,24,    6-9  ,264,    Louisiana State  ,    USA  ,      ,      ,      ,16,11.1,3.7,1,-2.9,2.6,15.4,21,56.9,7.3,
