Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zaza Pachulia  ,    MIL  ,31,    6-11  ,270,    None  ,    Georgia  ,2003,2,42,6,6.7,6.7,1.5,-11.2,7.4,25,17.6,43.7,12,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Player  ,    Team  ,    Age  ,    Height  ,    Weight  ,    COLLEGE  ,    COUNTRY  ,    DRAFT YEAR  ,    DRAFT ROUND  ,    DRAFT NUMBER  ,    GP  ,    PTS  ,    REB  ,    AST  ,    NETRTG  ,    OREB%  ,    DREB%  ,    USG%  ,    TS%  ,    AST%,
Al Harrington  ,    WAS  ,34,    6-9  ,245,    None  ,    USA  ,1998,1,25,7,2.4,2.3,0,-15.7,1.7,25.9,16.8,47,0,
Al Jefferson  ,    CHA  ,29,    6-10  ,289,    None  ,    USA  ,2004,1,15,3,18.7,9.3,0.7,-14.4,5.8,24.4,24.5,50.7,3.9,
Alan Anderson  ,    BKN  ,31,    6-6  ,220,    Michigan State  ,    USA  ,      ,      ,      ,12,5.9,2.7,1.3,-3,4,9.6,14,50.8,9.9,
Amir Johnson  ,    TOR  ,27,    6-9  ,210,    None  ,    USA  ,2005,2,56,7,11,6,1,-10.7,8.8,15.6,16.6,67.2,7.5,
Andray Blatche  ,    BKN  ,27,    6-11  ,260,    None  ,    USA  ,2005,2,49,12,6.4,5,0.3,5.8,15,24.8,22,54.1,4.3,
Andre Iguodala  ,    GSW  ,30,    6-6  ,207,    Arizona  ,    USA  ,2004,1,9,7,13.1,4.7,4.4,-7,2.1,11.7,17.3,60.1,19.1,
Andre Miller  ,    WAS  ,38,    6-2  ,200,    Utah  ,    USA  ,1999,1,8,11,4,1,0.8,-4.1,2,9.6,23.7,48.9,16.1,
Andre Roberson  ,    OKC  ,22,    6-7  ,210,    Colorado  ,    USA  ,2013,1,26,2,0,1,0,0,0,28.6,20,0,0,
Andrei Kirilenko  ,    BKN  ,33,    6-9  ,235,    None  ,    Russia  ,1999,1,24,10,2.5,2.3,1,6.8,7.7,11.1,8.3,55.6,9.9,
Anthony Tolliver  ,    CHA  ,29,    6-8  ,240,    Creighton  ,    USA  ,      ,      ,      ,4,1.5,1,0.3,-20,4.8,17.6,6,90.4,7.7,
Aron Baynes  ,    SAS  ,27,    6-10  ,260,    Washington State  ,    Australia  ,      ,      ,      ,14,2.3,2.2,0,21.9,12.6,16,15.6,56.3,0,
Austin Daye  ,    SAS  ,26,    6-11  ,200,    Gonzaga  ,    USA  ,2009,1,15,1,0,1,0,-10,0,14.3,20,0,0,
Beno Udrih  ,    MEM  ,31,    6-3  ,210,    None  ,    Slovenia  ,2004,1,28,7,7.9,1.7,1.7,1.8,1.5,9.2,22.7,54.2,20,
Bernard James  ,    DAL  ,29,    6-10  ,240,    Florida State  ,    USA  ,2012,2,33,2,0,0.5,0,59.3,12.5,0,0,0,0,
Bismack Biyombo  ,    CHA  ,21,    6-9  ,245,    None  ,    DRC  ,2011,1,7,3,2.7,3.7,0.3,-8.8,11.1,12.8,7.8,52.4,3.7,
Blake Griffin  ,    LAC  ,25,    6-10  ,251,    Oklahoma  ,    USA  ,2009,1,1,13,23.5,7.4,3.8,2.5,7.2,13.8,27.7,55.4,18,
Boris Diaw  ,    SAS  ,32,    6-8  ,250,    None  ,    France  ,2003,1,21,23,9.2,4.8,3.4,8.7,4.6,14.9,16,58.2,18.7,
Bradley Beal  ,    WAS  ,21,    6-5  ,207,    Florida  ,    USA  ,2012,1,3,11,19.2,5,4.5,2.5,3.4,9.1,22.4,53.1,19.8,
Brandan Wright  ,    DAL  ,26,    6-10  ,210,    North Carolina  ,    USA  ,2007,1,8,6,5.5,2,1.3,5.1,5.8,8.8,11.2,79.9,13.1,
C.J. Watson  ,    IND  ,30,    6-2  ,175,    Tennessee  ,    USA  ,      ,      ,      ,19,5.6,2.1,0.9,-10.5,0.9,11.9,15.9,52.3,9.3,
